,AÑO,VUELTA,CANTON_CODIGO,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_NOBOA_M,VC_GUTIERREZ_M,VC_NOBOA_F,VC_GUTIERREZ_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS,CANTON_NOMBRE,PROVINCIA_NOMBRE
72,2002,2,355,769.0,1043.0,97.0,106.0,4867.0,8183.0,5124.0,7699.0,21507.0,20465.0,25873.0,2015.0,SANTA ROSA,EL ORO
73,2002,2,360,443.0,565.0,36.0,70.0,1273.0,4122.0,1332.0,3711.0,9161.0,8684.0,10438.0,1114.0,ZARUMA,EL ORO
74,2002,2,365,1356.0,1694.0,97.0,91.0,6189.0,9091.0,6444.0,7873.0,25033.0,23306.0,29597.0,3238.0,PASAJE,EL ORO
75,2002,2,370,476.0,727.0,111.0,54.0,1324.0,3872.0,1389.0,3661.0,9274.0,8784.0,10246.0,1368.0,PINAS,EL ORO
76,2002,2,375,256.0,327.0,30.0,34.0,1692.0,2976.0,1536.0,2876.0,7165.0,6701.0,9080.0,647.0,ARENILLAS,EL ORO
77,2002,2,380,527.0,733.0,66.0,83.0,2596.0,6461.0,2483.0,5179.0,13749.0,11185.0,16719.0,1409.0,EL GUABO,EL ORO
78,2002,2,385,1289.0,1676.0,201.0,301.0,8830.0,6153.0,8864.0,4298.0,23441.0,21326.0,28145.0,3467.0,EL EMPALME,GUAYAS
79,2002,2,390,39963.0,54226.0,3237.0,3311.0,291924.0,136112.0,323766.0,119008.0,657026.0,705667.0,870810.0,100737.0,GUAYAQUIL,GUAYAS
80,2002,2,395,695.0,916.0,113.0,138.0,4352.0,4287.0,5018.0,3107.0,13422.0,12293.0,16764.0,1862.0,YAGUACHI,GUAYAS
81,2002,2,400,2324.0,2615.0,379.0,378.0,16362.0,7828.0,17275.0,5091.0,34930.0,32480.0,46556.0,5696.0,DAULE,GUAYAS
