Column1;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CANTON_CODIGO;CANTON_NOMBRE;DPA_CANTON
200;19;ZAMORA CHINCHIPE;661;PALANDA;1908
196;19;ZAMORA CHINCHIPE;665;YACUAMBI;1904
197;19;ZAMORA CHINCHIPE;670;YANTZAZA;1905
85;9;GUAYAS;675;PALESTINA;0913
172;16;PASTAZA;680;PASTAZA;1601
173;16;PASTAZA;685;MERA;1602
62;7;EL ORO;690;PORTOVELO;0711
58;7;EL ORO;695;HUAQUILLAS;0707
168;15;NAPO;700;ARCHIDONA;1503
54;7;EL ORO;705;ATAHUALPA;0703
122;12;LOS RIOS;710;MONTALVO;1203
86;9;GUAYAS;715;PEDRO CARBO;0914
208;21;SUCUMBIOS;720;SHUSHUFINDI;2104
214;22;ORELLANA;725;LA JOYA DE LOS SACHAS;2203
117;11;LOJA;730;PINDAL;1114
91;9;GUAYAS;735;PLAYAS;0921
118;11;LOJA;740;QUILANGA;1115
210;21;SUCUMBIOS;745;CASCALES;2106
128;12;LOS RIOS;750;PALENQUE;1209
65;7;EL ORO;755;LAS LAJAS;0714
20;2;BOLIVAR;760;CALUMA;0206
26;3;CANAR;765;EL TAMBO;0305
181;17;PICHINCHA;770;SAN MIGUEL DE LOS BANCOS;1707
198;19;ZAMORA CHINCHIPE;775;EL PANGUI;1906
9;1;AZUAY;780;OÑA;0110
71;8;ESMERALDAS;785;ATACAMES;0806
92;9;GUAYAS;790;SIMÓN BOLÍVAR;0922
161;14;MORONA SANTIAGO;795;HUAMBOYA;1407
165;14;MORONA SANTIAGO;796;PABLO SEXTO;1411
202;20;GALAPAGOS;800;SAN CRISTÓBAL;2001
204;20;GALAPAGOS;805;SANTA CRUZ;2003
203;20;GALAPAGOS;810;ISABELA;2002
108;11;LOJA;815;CHAGUARPAMBA;1105
79;9;GUAYAS;820;DURÁN;0907
36;5;COTOPAXI;825;LA MANÁ;0502
49;6;CHIMBORAZO;830;PALLATANGA;0608
74;9;GUAYAS;835;ALFREDO BAQUERIZO MORENO (JUJÁN);0902
144;13;MANABI;840;PICHINCHA;1311
186;18;TUNGURAHUA;845;CEVALLOS;1803
187;18;TUNGURAHUA;850;MOCHA;1804
6;1;AZUAY;855;SAN FERNANDO;0107
59;7;EL ORO;860;MARCABELÍ;0708
206;21;SUCUMBIOS;865;GONZALO PIZARRO;2102
88;9;GUAYAS;870;SANTA LUCÍA;0918
55;7;EL ORO;875;BALSAS;0704
174;16;PASTAZA;880;SANTA CLARA;1603
175;16;PASTAZA;881;ARAJUNO;1604
3;1;AZUAY;885;NABÓN;0104
93;9;GUAYAS;890;CORONEL MARCELINO MARIDUEÑA;0923
182;17;PICHINCHA;895;PEDRO VICENTE MALDONADO;1708
183;17;PICHINCHA;896;PUERTO QUITO;1709
51;6;CHIMBORAZO;900;CUMANDÁ;0610
27;3;CANAR;905;DÉLEG;0306
150;13;MANABI;910;PEDERNALES;1317
10;1;AZUAY;915;CHORDELEG;0111
94;9;GUAYAS;920;LOMAS DE SARGENTILLO;0924
162;14;MORONA SANTIAGO;925;SAN JUAN BOSCO;1408
163;14;MORONA SANTIAGO;926;TAISHA;1409
41;5;COTOPAXI;930;SIGCHOS;0507
215;22;ORELLANA;935;LORETO;2204
95;9;GUAYAS;940;NOBOL;0925
129;12;LOS RIOS;945;BUENA FE;1210
131;12;LOS RIOS;946;MOCACHE;1212
21;2;BOLIVAR;950;LAS NAVES;0207
12;1;AZUAY;955;SEVILLA DE ORO;0113
11;1;AZUAY;960;EL PAN;0112
219;24;SANTA ELENA;965;LA LIBERTAD;2402
140;13;MANABI;970;OLMEDO;1308
151;13;MANABI;975;PUERTO LÓPEZ;1319
199;19;ZAMORA CHINCHIPE;980;CENTINELA DEL CÓNDOR;1907
96;9;GUAYAS;985;GENERAL ANTONIO ELIZALDE;0927
97;9;GUAYAS;986;ISIDRO AYORA;0928
13;1;AZUAY;990;GUACHAPALA;0114
34;4;CARCHI;995;SAN PEDRO DE HUACA;0406
132;12;LOS RIOS;;QUINSALOMA;1213
166;14;MORONA SANTIAGO;;TIWINTZA;1412
201;19;ZAMORA CHINCHIPE;;PAQUISHA;1909
217;23;SANTO DOMINGO DE LOS TSÁCHILAS;;LA CONCORDIA;2302
221;90;ZONA EN ESTUDIO;;JUVAL;9006
