,OP_CODIGO,OP_PROVINCIA_CODIGO,OP_CANTON_CODIGO,OP_PARROQUIA_CODIGO,OP_TIPO,OP_AMBITO,OP_NOMBRE,OP_SIGLAS,OP_LISTA
29,40.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,BINOMIO ROLDOS PADILLA,RP,40
30,201.0,0.0,0.0,0.0,ALIANZAS,ALIANZA,PARTIDO LIBERAL RADICAL ECUATORIANO/MOVIMIENTO ESPERANZA TRANSFORMACION Y ACCION,PLRE/META,2-39
31,202.0,0.0,0.0,0.0,ALIANZAS,ALIANZA,PARTIDO SOCIEDAD PATRIOTICA 21 DE ENERO/MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK-NUEVO PAIS,PSP/MUPP-NP,3-18
32,10000000041.0,1.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO INDEPENDIENTE FUERZA  AZUAYA DE DESARROLLO,MIFAD,41
33,10000000201.0,1.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA SOCIAL CRISTIANO / IZQUIERDA DEMOCRATICA,PSC/ID,6-12
34,10000000202.0,1.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA MOVIMIENTO POPULAR DEMOCRATICO / SOCIALISTA - FRENTE AMPLIO,MPD /PS-FA,15-17
35,12600000045.0,1.0,260.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,FUERZA ECUATORIANA,FE,45
36,12600000048.0,1.0,260.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,POR TI CUENCA,PTC,48
37,15550000042.0,1.0,555.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,MOVIMIENTO INDEPENDIENTE SOLIDARIO CAMPESINO PUCARA,MISCP,42
38,15560000043.0,1.0,556.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,MOVIMIENTO FRENTE INDEPENDIENTE PROGRESISTA PONCE ENRIQUEZ,MFIPPE,43
39,15560000044.0,1.0,556.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,MOVIMIENTO Y ACCION DE PUEBLOS ORGANIZADOS,MAPO,44
40,15560000047.0,1.0,556.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,MOVIMIENTO INDEPENDIENTE DE ACCION PARTICIPATIVA,MIAP,47
41,15560000203.0,1.0,556.0,0.0,ALIANZAS,ALIANZA,ALIANZA,DP-UDC/MAPO,5-44
42,15560000204.0,1.0,556.0,0.0,ALIANZAS,ALIANZA,ALIANZA SOCIAL CRISTIANO / MOVIMIENTO FRENTE  INDEPENDIENTE PROGRESISTA PONCE ENRIQUEZ,PSC/MFIPPE,6-43
43,19900000049.0,1.0,990.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,ASAMBLEAS DE FISCALIZACION GESTION Y TRANSPARENCIA GUACHAPALA,AFG,49
44,20000000042.0,2.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO INDEPENDENCIA BOLIVARIANA,MIB,42
45,20000000201.0,2.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA GRAN ALIANZA PROVINCIAL,UN - UNO/AN,1-14
46,20000000202.0,2.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA BOLIVARIANA,TSI /MIB,22-42
47,20000000203.0,2.0,0.0,0.0,ALIANZAS,ALIANZA,PEPITO,MIB /MR2000,42-19
48,30000000041.0,3.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO INDEPENDIENTE ALLI KAUSAY,MIAK,41
49,30000000201.0,3.0,0.0,0.0,ALIANZAS,ALIANZA,1-4-5,UN - UNO/CFP/DP-UDC,1-4-5
50,30000000202.0,3.0,0.0,0.0,ALIANZAS,ALIANZA,UNIDAD POPULAR,MPD /PS-FA,15-17
51,32350000203.0,3.0,235.0,0.0,ALIANZAS,ALIANZA,ALIANZA UNION NACIONAL/DEMOCRACIA POPULAR -UNION DEMOCRATA CRISTIANA,UN - UNO/DP-UDC,1-5
52,40000000041.0,4.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO DE IDENTIDAD CARCHENSE,M.I.C.,41
53,40000000042.0,4.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO INDEPENDIENTE TRABAJO Y DEMOCRACIA,T.D.,42
54,40000000201.0,4.0,0.0,0.0,ALIANZAS,ALIANZA,NUEVA ALTERNATIVA 6-14,PSC/AN,6-14
55,40000000202.0,4.0,0.0,0.0,ALIANZAS,ALIANZA,LISTAS 10-5,PRE /DP-UDC,10-5
56,40000000203.0,4.0,0.0,0.0,ALIANZAS,ALIANZA,IZQUIERDA UNIDA,MPD /PS-FA,15-17
57,40150000043.0,4.0,15.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,MOVIMIENTO INTEGRACION POPULAR,M.I.P,43
58,50000000201.0,5.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA CONCENTRACION DE FUERZAS POPULARES/SOCIALISTA - FRENTE AMPLIO,CFP/PS-FA,4-17
59,50000000202.0,5.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA SOCIAL CRISTIANO/ALFARISMO NACIONAL,PSC/AN,6-14
60,60000000041.0,6.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO ACCION INDEPENDIENTE,MAI,41
